Reservoir,Site,DateTime,Depth_m,TLi_mgL,SLi_mgL,TNa_mgL,SNa_mgL,TMg_mgL,SMg_mgL,TAl_mgL,SAl_mgL,TSi_mgL,SSi_mgL,TK_mgL,SK_mgL,TCa_mgL,SCa_mgL,TFe_mgL,SFe_mgL,TMn_mgL,SMn_mgL,TCu_mgL,SCu_mgL,TSr_mgL,SSr_mgL,TBa_mgL,SBa_mgL,Flag_DateTime,Flag_TLi_mgL,Flag_SLi_mgL,Flag_TNa_mgL,Flag_SNa_mgL,Flag_TMg_mgL,Flag_SMg_mgL,Flag_TAl_mgL,Flag_SAl_mgL,Flag_TSi_mgL,Flag_SSi_mgL,Flag_TK_mgL,Flag_SK_mgL,Flag_TCa_mgL,Flag_SCa_mgL,Flag_TFe_mgL,Flag_SFe_mgL,Flag_TMn_mgL,Flag_SMn_mgL,Flag_TCu_mgL,Flag_SCu_mgL,Flag_TSr_mgL,Flag_SSr_mgL,Flag_TBa_mgL,Flag_SBa_mgL
FCR,100.1,2020-03-24 12:00:00,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1
FCR,100.1,2020-04-20 12:00:00,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1
FCR,100.1,2020-05-11 12:00:00,0.1,0.003872000000000001,NA,9.984436,NA,3.4973840000000007,NA,3.6329040000000012,NA,32.78616,NA,5.663768000000002,NA,8.240100000000002,NA,5.683128000000002,NA,0.6403320000000001,NA,0.006776000000000001,NA,0.058080000000000014,NA,0.14616800000000002,NA,1,68,1,68,1,68,1,68,1,68,1,68,1,6,1,6,1,6,1,68,1,6,1,68,1
FCR,100.1,2020-05-25 12:00:00,0.1,0.0022,NA,4.212560000000001,NA,1.58686,NA,2.33772,NA,14.69798,NA,2.34762,NA,3.63132,NA,3.4533400000000003,NA,0.35134,NA,0.00792,NA,0.02662,NA,0.0814,NA,1,68,1,6,1,6,1,68,1,6,1,6,1,6,1,6,1,6,1,68,1,6,1,6,1
FCR,100.1,2020-06-08 12:00:00,0.1,0.0043560000000000005,NA,9.058544000000001,NA,3.4112320000000005,NA,3.8923280000000005,NA,30.479900000000004,NA,5.260596000000002,NA,7.559596000000001,NA,6.3481440000000005,NA,0.64614,NA,0.006776000000000001,NA,0.05566000000000001,NA,0.16068800000000003,NA,1,68,1,68,1,68,1,68,1,68,1,68,1,6,1,6,1,6,1,68,1,6,1,68,1
FCR,100.1,2020-06-22 12:49:00,0.1,0.00198,NA,4.0293,NA,1.6537400000000002,NA,2.13642,NA,13.915660000000003,NA,2.42462,NA,3.6348400000000005,NA,3.44212,NA,0.35332,NA,0.00506,NA,0.02662,NA,0.07942,NA,0,6,1,6,1,6,1,68,1,6,1,6,1,6,1,6,1,6,1,68,1,6,1,6,1
FCR,100.1,2020-07-06 15:13:00,0.1,0.0019360000000000004,NA,10.274352000000002,NA,3.4586640000000006,NA,0.23958000000000004,NA,28.025536000000006,NA,5.370948000000001,NA,7.285652,NA,0.7477800000000001,NA,0.03581600000000001,NA,0.0029040000000000003,NA,0.04985200000000001,NA,0.06969600000000001,NA,0,6,1,68,1,68,1,6,1,68,1,68,1,6,1,6,1,6,1,6,1,6,1,6,1
FCR,100.1,2020-07-20 13:40:00,0.1,0.003872000000000001,NA,10.265640000000003,NA,3.9939680000000006,NA,2.6242480000000006,NA,30.790144000000005,NA,6.133732,NA,8.071184000000002,NA,5.732980000000001,NA,0.5933840000000001,NA,0.0048400000000000006,NA,0.058080000000000014,NA,0.149072,NA,0,68,1,68,1,68,1,68,1,68,1,68,1,6,1,6,1,6,1,68,1,6,1,68,1
FCR,100.1,2020-08-10 14:58:00,0.1,9.680000000000002e-4,NA,0.511588,NA,0.22167200000000004,NA,0.9128240000000001,NA,3.9276600000000004,NA,0.4598000000000001,NA,0.4225320000000001,NA,0.8329640000000001,NA,0.059532000000000015,NA,0.001,NA,0.0033880000000000004,NA,0.016456000000000002,NA,0,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2020-09-02 15:00:00,0.1,9.680000000000002e-4,NA,0.6921200000000001,NA,0.23570800000000006,NA,0.5749920000000002,NA,4.128036000000001,NA,0.33589600000000003,NA,0.52514,NA,0.446732,NA,0.04356000000000001,NA,0.001,NA,0.003872000000000001,NA,0.011616000000000001,NA,0,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,3,1,6,1,6,1
FCR,100.1,2020-09-15 14:56:00,0.1,0.0029040000000000003,NA,14.644872000000003,NA,3.9484720000000006,NA,1.085128,NA,46.90928000000001,NA,5.454196000000001,NA,9.591912,NA,2.2239800000000005,NA,0.27346000000000004,NA,0.0043560000000000005,NA,0.059532000000000015,NA,0.090508,NA,0,68,1,68,1,68,1,6,1,68,1,68,1,6,1,6,1,6,1,6,1,6,1,6,1
FCR,100.1,2020-09-30 13:15:00,0.1,5e-4,NA,0.33484,NA,0.12562,NA,0.6030200000000001,NA,2.4483800000000002,NA,0.20086,NA,0.27896000000000004,NA,0.44748000000000004,NA,0.0374,NA,0.001,NA,0.0022,NA,0.0099,NA,0,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2020-10-05 12:00:00,0.1,5e-4,NA,0.34298000000000006,NA,0.11198000000000001,NA,0.35332,NA,2.11464,NA,0.14806,NA,0.24244000000000004,NA,0.27126,NA,0.02574,NA,0.001,NA,0.0017600000000000003,NA,0.0068200000000000005,NA,1,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2020-11-02 13:10:00,0.1,5e-4,NA,0.30096000000000006,NA,0.11462000000000001,NA,0.29744,NA,1.9201599999999999,NA,0.18986000000000003,NA,0.24046,NA,0.20174000000000003,NA,0.018260000000000002,NA,0.001,NA,0.0017600000000000003,NA,0.005940000000000001,NA,0,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
FCR,100.1,2020-11-09 13:14:00,0.1,5e-4,NA,0.29986,NA,0.09834000000000001,NA,0.18172,NA,1.72678,NA,0.13706,NA,0.21538000000000002,NA,0.0968,NA,0.00902,NA,0.001,NA,0.00132,NA,0.0035200000000000006,NA,0,63,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,3,1,6,1,6,1
FCR,100.1,2021-04-16 15:37:00,0.1,9.680000000000002e-4,NA,0.6025800000000001,NA,0.21586400000000006,NA,0.5338520000000001,NA,3.5191640000000004,NA,0.4060760000000001,NA,0.5057800000000001,NA,0.4573800000000001,NA,0.05517600000000001,NA,0.001,NA,0.0033880000000000004,NA,0.013068000000000003,NA,0,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,6,1,63,1,6,1,6,1
